durablefishingrod;Durable Fishing Rod
ancientpressureplate;Ancient Pressure Plate
ancientprop;TODO - Ancient Prop
ancientstriplight1;Ancient Strip Light (1)
ancientstriplight10;Ancient Strip Light (2)
ancientstriplight11;Ancient Strip Light (3)
ancientstriplight12;Ancient Strip Light (4)
ancientstriplight13;Ancient Strip Light (5)
ancientstriplight2;Ancient Strip Light (6)
ancientstriplight3;Ancient Strip Light (7)
ancientstriplight4;Ancient Strip Light (8)
ancientstriplight5;Ancient Strip Light (9)
ancientstriplight6;Ancient Strip Light (10)
ancientstriplight7;Ancient Strip Light (11)
ancientstriplight8;Ancient Strip Light (12)
ancientstriplight9;Ancient Strip Light (13)
ancientswitchhidden;Ancient Hidden Switch
ancienttorch;Ancient Torch
ancientverticaldoor;Ancient Hatch
challengedoor;Challenge Door (1)
challengereturndoor;Challenge Door (2)
essencechest;Ancient Essence Chest
hologram1;Ancient Hologram (1)
hologram2;Ancient Hologram (2)
hologram3;Ancient Hologram (3)
hologram4;Ancient Hologram (4)
hologramgalaxy;Ancient Hologram (5)
jumpbooster;Jump Booster
largetentacleprop;Huge Tentacle Statue
lightstreaks;Light Streaks
monolithgate;Monolith Gate
monolithstatue1;Monolith Statue (1)
monolithstatue2;Monolith Statue (2)
powerbooster;Power Booster
sawblade2;Ancient Saw Trap
speedbooster;Speed Booster
gasdispenser;Gas Dispenser
largefloorspike;Large Floor Spike
smallfloorspike;Small Floor Spike
terraforge;Terraforge
wallbuttontrigger;Small Wall Button (1)
smallwallbutton;Small Wall Button (2)
weaponupgradeanvil;Weapon Upgrade Anvil
apexapesign;Big Ape Poster
apexaquarium1;Wooden Aquarium
apexaquarium2;Empty Wooden Aquarium
apexarmchair;Standard Issue Armchair
apexbananasign;Banana Propaganda Poster
apexbed;Standard Issue Bed
apexbloodbank;Bloodbank
apexbrainjar;Brain in a Jar
apexbustmale;Apex Male Bust
apexceilingtv;Flickering Ceiling TV
apexcomfychair;Standard Issue Seat
apexconsole1;Research Terminal
apexconsolekeyboard;Console Keyboard
apexcoolbookcase;Cool Bookcase
apexcoolchair;Cool Chair
apexcoolcomputer;Cool Computer
apexcoolcupboard;Cool Cupboard
apexcooldesk;Cool Desk
apexcooldoor;Security Door
apexcoolserver;Cool Server
apexcoolshelf1;Cool Empty Shelf
apexcoolshelf2;Cool Chemical Shelf
apexcooltable;Cool Table
apexcouch;Standard Issue Couch
apexcounter1;Standard Issue Cabinet
apexcounter2;Standard Issue Counter
apexcurtain;Standard Issue Curtain
apexdesk;Standard Issue Desk
apexdonotenter;Do Not Enter Sign
apexflusign;Ape Flu Poster
apexfridge;Standard Issue Fridge
apexhdtv;Big Ape HDTV
apexlamp1;Standard Issue Lamp
apexlamp2;Standard Issue Tall Lamp
apexlamp3;Paper Lantern
apexlevel1sign;Apex Level 01 Sign
apexlocker;Laboratory Locker
apexmedsign;Medical Bay Sign
apexmocksign;Disobey Sign
apexnameplate;Fancy Plaque
apexobeysign;Obey Sign
apexofficechair;Office Chair
apexoven;Standard Issue Oven
apexpainting1;Glorious Leader Painting
apexpainting2;Apex Portrait
apexpainting3;Big Ape Record
apexpainting4;Standard Issue Painting
apexpainting5;Big Ape Cross-Stitch
apexpiano;Standard Issue Piano
apexpod;Life Support Pod
apexpod2;Empty Life Support Pod
apexradio;Standard Issue Radio
apexrecordplayer;Standard Issue Turntable
apexsink;Bathroom Sink (1)
bathroomsink;Bathroom Sink (2)
apexslidingdoor1;Light Sliding Door
apexslidingdoor2;Black Sliding Door
apexspeaker;Announcement Intercom
apexstatue;Apex Scientist Statue
apexstatue1;Big Ape Bust
apexstatue2;Great Banana Statue
apexstatue3;Great Banana Lock Statue
apexstoragelocker;Apex Storage Locker
apexstoreshelf;Wooden Store Shelf
apexstoresign;Store Sign
apextable;Standard Issue Table
apextablelamp;Green Lamp Pod
apextent;Military Tent
apexthoughtreassign;Reassignment Sign
apextorturebed;Interrogation Table
apextv;Big Ape TV
apexwallpainting1;Modern Painting
apexwallpainting2;Vertical Modern Painting
apexwardrobe;Standard Issue Wardrobe
apexwoodenchair;Standard Issue Chair
apexwoodenshelves;Standard Issue Shelves
apexwoodpanel;Standard Issue Wall Panel
arrowsign;Arrow Sign
blueflask;Blue Flask
cider;Mulled Fruit Drink
classicapestatue;Big Ape Monument
classicapestatuenohead;Headless Big Ape Statue
classicbardoor;Classic Barred Door
classicbed;Classic Bed
classicbookcase;Classic Bookcase
classicbowl;Classic Bowl
classiccandlestick;Classic Candlestick
classicchair;Classic Chair
classicchandelier;Classic Chandelier
classicchest;Classic Chest
classicchina;Classic China Cabinet
classiccupboard;Classic Cupboard
classiccurtain1;Classic Curtain
classiccurtain2;Classic Drape
classiccurtain3;Classic Thin Drape
classicdesk;Classic Desk (1)
hylotlclassicdesk;Classic Desk (2)
classicdiningtable;Classic Dining Table
classicdoor;Classic Door
classicfountain;Water Fountain
classicglass;Crystal Glass
classiclight;Classic Light
classiclightart;Classic Ceiling Light
classicmug;Classic Mug
classicpillarsmall;Small Pillar
classicplate;Classic Plate
classictable;Classic Table
electricsign;Electricity Warning Sign
fantasyboardgame;Fantasy Board Game
flowerbasket1;Hanging Basket (1)
flowerbasket2;Hanging Basket (2)
flowerbed1;Flower Bed (1)
flowerbed2;Flower Bed (2)
grandfatherclock;Grandfather Clock
greenflask;Green Flask
microscope;Microscope
plasmadisc;Plasma Disc
reddangersign;Red Danger Sign
redflask;Red Flask
apexrespawnpod;Apex Respawn Pod
sandbags;Sand Bags
apexsecuritycamera;Hi-tech Security Camera
tesla;Wireless Generator
teslaspike;Tesla Spike
apexturret;Hi-tech Turret
vaseclassiclarge1;Large Striped Vase
vaseclassiclarge2;Large Fancy Vase
vaseclassicmedium1;Fancy Vase
vaseclassicmedium2;Classic Vase
vaseclassicsmall1;Small Fancy Vase
vaseclassicsmall2;Small Striped Vase
benjaminstatue;Benjamin Deust Statue
cameronstatue;Cameron York Statue
memorialstatue;Imagination Memorial
oliverstatue;xOliver137 Statue
derrickstatue;Derrick Statue
flowerstatue;Big Flower Statue
genericpainting1;Curious Painting
glitchianman;Glitchian Man
glitchspeare;Glitchspeare Portrait
goldenegg;Golden Egg
paintingapegothic;Gothic Ape Painting
paintingapescream;Howler Monkey Painting
paintingapespeare;Apex Poet Portrait
paintingapexpearlearring;Subtle Ape Painting
paintingapexpixellisa;Classic Ape Painting
paintingapexwithermine;Pet Painting
paintingbirthofapevenus;Beautiful Ape Painting
paintingbirthofvenus;Beautiful Painting
paintingcreationofapepixel;Grand Big Ape Painting
paintingcreationofpixel;Grand Painting
paintinggothic;Gothic Painting
paintingmonalisa;Classic Painting
paintingpearlearring;Subtle Painting
paintingscream;Screaming Painting
paintingshakespeare;Famous Poet Portrait
paintingstarrynight;Abstract Painting
persistenceofpixels;Persistence of Pixels
rainbowpainting;Rainbow Painting
rainbowunicornstatue;Rainbow Unicorn Statue
sandstonestatueapex;Apex Sandstone Statue
sandstonestatueavian;Avian Sandstone Statue
sandstonestatuefloran;Floran Sandstone Statue
sandstonestatueglitch;Glitch Sandstone Statue
sandstonestatuehuman;Human Sandstone Statue
sandstonestatuehylotl;Hylotl Sandstone Statue
selfportraitofhylotlshu;Self-Portrait of Hylotl-Shu
shroomstatue;Mushroom Statue
tenstudiesinfemalehylotlgy;Studies in Female Hylotlgy
venusdepixel;Venus de Pixel
airemblem;Avian Air Emblem
altaravian;Avian Head Altar
altarbunny;Bunny Altar
anchor;Anchor
ashjar1;Bird Jar
ashjar2;Bunny Jar
ashjar3;Familiar Jar
avianbanner1;Avian Colourful Banner
avianbanner2;Avian Lunar Banner
avianbanner3;Avian Patterned Banner
avianbanner4;Avian Small Banner
avianbench1;Rustic Bench
avianbench2;Village Bench
avianpressureplate;Crystal Pressure Plate
avianstoragelocker;Avian Storage Locker
avianswitchhidden1;Yellow Hidden Switch
avianswitchhidden2;Blue Hidden Switch
bardoor2;Portcullis
bardoor2sideways;Horizontal Portcullis
bardoor3;Large Portcullis
bigjar1;Big Bird Jar
birdaltar2;Avian Prayer Altar
birdbed;Guardian's Nest
birddoor;Golden Crystal Door
birdgodemblem;Avian Emblem
birdgong1;Large Gong
birdgong2;Fancy Avian Gong
birdgroundlantern;Torch Stand
birdjar1;Fancy Temple Jar
birdjar2;Ugly Temple Jar
birdtable;Temple Table
birdthrone;Avian Throne
chestavian1;Decorative Chest
chestavian2;Old Chest
chestmedavian1;Large Decorative Chest
chestmedavian2;Large Old Chest
consoletribal1;Carved Bird Console
consoletribal2;Carved Egg Console
consoletribal3;Carved Flame Console
consoletribal4;Large Carved Console
consoletribalwall;Carved Security Panel
crystaltorch;Crystal Torch
decorativewallrug1;Colourful Tapestry
decorativewallrug2;Small Colourful Tapestry
earthemblem;Avian Earth Emblem
feathers1;Vibrant Feather Bundle
feathers2;Colourful Feather Bundle
featherybird;Decorative Bird
fireemblem;Avian Fire Emblem
goldenducky;Golden Ducky
goldenjar1;Golden Bird Jar
goldenurn;Golden Urn
idolsupport;Carved Support Beam
lamp;Golden Lamp
marketstall1;Market Fruit Stall
marketstall2;Market Clothes Stall
marketstall3;Market Weapon Stall
marketstall4;Small Empty Market Stall
marketstall5;Large Empty Market Stall
mask1;Decorative Human Mask
mask2;Decorative Skull Mask
mask3;Decorative Alien Mask
mask4;Decorative Bird Mask
mask5;Decorative Wiseman Mask
mask6;Decorative Priest Mask
midjar1;Old Pot
moonemblem;Avian Moon Emblem
obsidianbookcase;Large Obsidian Bookcase
owlclock;Owl Wall Clock
propeller;Propeller
sacrificialaltar;Sacrificial Altar
sarcoavian1;Avian Sarcophagus
sarcoavian2;Grand Avian Sarcophagus
sarcobunny;Bunny Sarcophagus
sarcohuman;Human Sarcophagus (1)
sarcohumanalive;Human Sarcophagus (2)
sawblade;Sawblade Trap
screen1;Data Screen
screen2;Spaceship screen
screen3;Star Map Screen
screen4;Glyph Screen
screen5;Brain Activity Screen
shipwheel;Wooden Ship Wheel
smalljar1;Small Pot
spearrack;Avian Spear Rack
sundecor;Decorative Sun
talljar1;Tall Pot
talljar2;Crude Pot
templehiddendoor;Brick Hidden Door
templehiddentrapdoor;Brick Hidden Trapdoor
tombstatueavian;Avian Hero Statue
tombstatuebunny;Avian Bunny Statue
tombstone1;Basic Tombstone
tombstone10;Eye Tombstone
tombstone11;Mass Tombstone
tombstone2;Embossed Tombstone
tombstone3;Engraved Tombstone
tombstone4;Smashed Tombstone
tombstone5;Warrior's Tombstone
tombstone6;Priest's Tombstone
tombstone7;Grounded's Tombstone
tombstone8;Desecrated Tombstone
tombstone9;Unstable Tombstone
tombthing1;Undecorated Stone Tomb
tombthing2;Engraved Avian Tomb
tombthing3;Open Stone Tomb
tombthing4;Lavish Avian Tomb
treasuremap;Treasure Map
tribalbed2;Avian Bed
tribalbookcase1;Large Carved Bookcase
tribalbookcase2;Small Avian Bookcase
tribalcabinet1;Small Carved Cabinet
tribalcloset1;Avian Closet
tribalcounter1;Carved Counter
tribaldoor;Carved Door
triballamp;Avian Lamp
tribalserver;Avian Server
tribaltable;Carved Table
tribalwallcabinet;Carved Wall Cabinet
wateremblem;Avian Water Emblem
windchicken;Weathervane
wingedurn;Winged Urn
alienbed;Alien Bed
alienchair;Alien Chair
alienchest;Alien Chest
aliendoor;Alien Door
alienglowplant1;Glowing Alien Plant
alientable;Alien Table
mistprimer;Pile of Mossy Stones
stonebed;Stone Bed
stonechair;Stone Chair
stonechest;Stone Chest (1)
ff_stonechest;Stone Chest (2)
ff_stonechest2;Stone Chest (3)
stonedoor;Stone Door
stonetable;Stone Table
glowbed;Glow Bed
glowbush1;Glow Flower Bush (1)
glowbush2;Glow Flower Bush (2)
glowbush3;Glow Flower Bush (3)
glowbush4;Glow Flower Bush (4)
glowbush5;Glow Flower Bush (5)
glowbushlamp;Glow Bush Lamp
glowchair;Glow Chair
glowchest;Glow Chest
glowflower1;Glow Flower Pod (1)
glowflower2;Glow Flower Pod (2)
glowflower3;Glow Flower Pod (3)
glowflower4;Glow Flower Pod (4)
glowflower5;Glow Flower Pod (5)
glowflowerlamp;Glow Flower Lamp
glowroot1;Roots (1)
glowroot2;Roots (2)
glowroot3;Roots (3)
glowroot4;Roots (4)
glowroot5;Roots (5)
root1;Roots (6)
root2;Roots (7)
root3;Roots (8)
root4;Roots (9)
root5;Roots (10)
glowtree1;Glow Tree (1)
glowtree2;Glow Tree (2)
glowtree3;Glow Tree (3)
glowtree4;Glow Tree (4)
glowtree5;Glow Tree (5)
glowvine1;Glow Vine (1)
glowvine2;Glow Vine (2)
glowvine3;Glow Vine (3)
biovine1;Glow Vine (4)
biovine2;Glow Vine (5)
biovine3;Glow Vine (6)
biovine4;Glow Vine (7)
biovine5;Glow Vine (8)
glowvine4;Glowing Vine (1)
glowvine5;Glowing Vine (2)
glowvinelamp;Glow Vine Lamp
bioshroom1;Glow Mushrooms (1)
bioshroom2;Glow Mushrooms (2)
bioshroom3;Glow Mushrooms (3)
bioshroom4;Glow Mushrooms (4)
bioshroom5;Glow Mushrooms (5)
bioshroomtable;Glow Table
bonebed;Bone Coffin Bed
bonechair;Bone Chair
bonedoor;Bone Door
bonetable;Bone Table (1)
fudragontable;Bone Table (2)
smashbones1;Bone Pile (1)
smashbones2;Bone Pile (2)
smashbones3;Bone Pile (3)
smashbones4;Bone Pile (4)
brainsynapse1;Synapse
buglike1;Hive Bush (1)
buglike10;Hive Bush (2)
buglike2;Hive Bush (3)
buglike3;Hive Bush (4)
buglike4;Hive Bush (5)
buglike5;Hive Bush (6)
buglike6;Hive Bush (7)
buglike7;Hive Bush (8)
buglike8;Hive Bush (9)
buglike9;Hive Bush (10)
cellchair;Cell Chair
cellchest;Cell Chest
celldoor;Cell Door
celllamp;Cell Lamp
celltable;Cell Table
cellstructure1;Cell Structure (1)
cellstructure2;Cell Structure (2)
cellstructure3;Cell Structure (3)
cellstructure4;Cell Structure (4)
cellstructure5;Cell Structure (5)
dnaplant1;DNA Plant (1)
dnaplant2;DNA Plant (2)
dnaplant3;DNA Plant (3)
dnaplant4;DNA Plant (4)
colourfulbush1;Colourful Bush (1)
colourfulbush2;Colourful Bush (2)
colourfulbush3;Colourful Bush (3)
colourfulbush4;Colourful Bush (4)
colourfulbush5;Colourful Bush (5)
junglebush1;Colourful Bush (6)
junglebush10;Colourful Bush (7)
junglebush11;Colourful Bush (8)
junglebush12;Colourful Bush (9)
junglebush2;Colourful Bush (10)
junglebush3;Colourful Bush (11)
junglebush4;Colourful Bush (12)
junglebush5;Colourful Bush (13)
junglebush6;Colourful Bush (14)
junglebush7;Colourful Bush (15)
junglebush8;Colourful Bush (16)
junglebush9;Colourful Bush (17)
rainbowbed;Rainbow Bed
rainbowchair;Rainbow Chair
rainbowchest;Rainbow Chest
rainbowdoor;Rainbow Door
rainbowtable;Rainbow Table
embercoral1;Ember Coral (1)
embercoral2;Ember Coral (2)
embercoral3;Ember Coral (3)
embercoral4;Ember Coral (4)
embercoral5;Ember Coral (5)
crystalcavebush1;Crystalline Bush (1)
crystalcavebush2;Crystalline Bush (2)
crystalcavebush3;Crystalline Bush (3)
crystalcavebush4;Crystalline Bush (4)
crystallinebush1;Crystalline Bush (5)
crystallinebush2;Crystalline Bush (6)
crystallinebush3;Crystalline Bush (7)
crystallinebush4;Crystalline Bush (8)
crystalcavebush10;Crystalline Bush (9)
crystalcavebush11;Crystalline Bush (10)
crystalcavebush12;Crystalline Bush (11)
crystalcavebush13;Crystalline Bush (12)
crystalcavebush14;Crystalline Bush (13)
crystalcavebush15;Crystalline Bush (14)
crystalcavebush16;Crystalline Bush (15)
crystalcavebush17;Crystalline Bush (16)
crystalcavebush5;Crystalline Bush (17)
crystalcavebush6;Crystalline Bush (18)
crystalcavebush7;Crystalline Bush (19)
crystalcavebush8;Crystalline Bush (20)
crystalcavebush9;Crystalline Bush (21)
crystallarge1;Crystalline Bush (22)
crystallarge2;Crystalline Bush (23)
crystallarge3;Crystalline Bush (24)
crystalbed;Crystal Bed
crystalchair;Crystal Chair
crystalchest;Crystal Chest
crystallamp;Crystal Lamp
crystaltable;Crystal Table
shadowchest;Shadow Chest
shadowchimes;Wind Chimes
shadowmarker;Shadow Marker
shadowrock1;Dark rock (1)
shadowrock2;Dark rock (2)
shadowrock3;Dark rock (3)
shadowrock4;Dark rock (4)
shadowrock5;Dark rock (5)
shadowshrine;Shadow Shrine (1)
shadowshrine2;Shadow Shrine (2)
shadowshrine3;Shadow Shrine (3)
shadowurnlarge1;Large Shadow Urn (1)
shadowurnlarge2;Large Shadow Urn (2)
shadowurnmedium1;Medium Shadow Urn (1)
shadowurnmedium2;Medium Shadow Urn (2)
shadowurnsmall1;Small Shadow Urn
shadowurnsmall2;Small Dark Vase
sandstonebed;Sandstone Bed
sandstonechair;Sandstone Chair
sandstonechest;Sandstone Chest
sandstonedoor;Sandstone Door
sandstonetable;Sandstone Table
sandstonetorch;Sandstone Torch
eyebed;Eye Bed
eyechair;Eye Chair
eyechest;Eye Chest
eyedoor;Eye Door
eyetable;Eye Table
dripblood1;Blood Drop Source
fleshbed;Flesh Bed (1)
fuunderworldbed;Flesh Bed (2)
fleshbush1;Flesh Bush (1)
fleshbush2;Flesh Bush (2)
fleshbush3;Flesh Bush (3)
fleshbush4;Flesh Bush (4)
fleshbush5;Flesh Bush (5)
fleshbush6;Flesh Bush (6)
fleshchair;Flesh Chair (1)
fuunderworldchair;Flesh Chair (2)
fleshchest;Flesh Chest
fleshdoor;Flesh Door (1)
fuunderworlddoor;Flesh Door (2)
fuunderworlddoor2;Flesh Door (3)
fleshtable;Flesh Table (1)
fuunderworldtable1;Flesh Table (2)
fuunderworldtable2;Flesh Table (3)
foundrybed;Foundry Bed
foundrybellow;Foundry Bellows
foundrybutton;Foundry Button
foundrychair;Heavy Chair
foundryconsole;Foundry Console
foundrydoor;Heavy Door
foundryelevatorlong;Long Industrial Elevator
foundryelevatorshort;Short Industrial Elevator
foundrylight;Foundry Light
foundryand;Foundry And Switch
foundrycountdowntimer;Foundry Countdown Timer
foundrydelay;Foundry Delay Gate
foundrydlatch;Foundry Latch
foundrynot;Foundry Not Switch
foundryor;Foundry Or Switch
foundrytimer;Foundry Timer (0.5 Sec)
foundrytimer1s;Foundry Timer (1 Sec)
foundrytimer2s;Foundry Timer (2 Sec)
foundrytimer3s;Foundry Timer (3 Sec)
foundrytimer4s;Foundry Timer (4 Sec)
foundrytimer5s;Foundry Timer (5 Sec)
foundryxor;Foundry XOR Switch
foundrysign;Foundry Sign
foundrysupport;Foundry Support
foundryswitch;Foundry Switch
ladlelarge;Large Ladle
ladlesmall;Small Ladle
lavatankcascade;Cascading Lava Tank
lavatanklarge;Large Lava tank
lavatanksmall;Small Lava Tank
magmalamp;Magma Lamp
frozenmistprimer;Chunk of Ice (1)
geometricshard1;Chunk of Ice (2)
geometricshard2;Chunk of Ice (3)
geometricshard3;Chunk of Ice (4)
geometricshard4;Chunk of Ice (5)
geometricshard5;Chunk of Ice (6)
iceshard1;Chunk of Ice (7)
iceshard2;Chunk of Ice (8)
iceshard3;Chunk of Ice (9)
iceshard4;Chunk of Ice (10)
iceshard5;Chunk of Ice (11)
frozenfirechair;Frozen Fire Chair
geodebed;Geode Bed
geodeceilinglight;Geode Light
geodechair;Geode Chair
geodedoor;Geode Door
geodeplantpot;Geode Plant Pot
geodebnatural;Geode B (Natural)
geodebnote;Geode B
geodecnatural;Geode C (Natural)
geodecnote;Geode C
geodednatural;Geode D (Natural)
geodednote;Geode D
geodeenote;Geode E
geodefnote;Geode F
geodegnote;Geode G
geodehighanatural;Geode High A (Natural)
geodehighanote;Geode High A
geodelowanatural;Geode Low A (Natural)
geodelowanote;Geode Low A
aegisaltsample;Aegisalt Sample
coalsample;Coal Sample
coppersample;Copper Sample
corefragmentsample;Core Fragment Sample
diamondsample;Diamond Sample
durasteelsample;Durasteel Sample
erchiuscrystalsample;Erchius Crystal Sample
feroziumsample;Ferozium Sample
geodebluesample;Blue Geode Sample
geodegreensample;Green Geode Sample
geodeorangesample;Orange Geode Sample
geodepurplesample;Purple Geode Sample
geoderedsample;Red Geode Sample
geodeyellowsample;Yellow Geode Sample
goldsample;Gold Sample
ironsample;Iron Sample
platinumsample;Platinum Sample
plutoniumsample;Plutonium Sample
prisilitesample;Prisilite Sample
silversample;Silver Sample
solariumsample;Solarium Sample
titaniumsample;Titanium Sample
tungstensample;Tungsten Sample
uraniumsample;Uranium Sample
violiumsample;Violium Sample
giantflower1;Giant Flower (1)
giantflower2;Giant Flower (2)
giantflower3;Giant Flower (3)
giantflower4;Giant Flower (4)
giantflowerbed;Giant Flower Bed
giantflowerchair;Giant Flower Chair
giantflowerchest;Giant Flower Chest
giantflowerdoor;Giant Flower Door
giantflowerlamp;Giant Flower Lamp
giantflowertable;Giant Flower Table
smallchurch;Tiny Building
smallclocktower;Tiny Clock Tower
smallhouse1;Tiny House (1)
smallhouse11;Tiny House (2)
smallhouse2;Tiny House (3)
smallhouse3;Tiny House (4)
smallhouse6;Tiny House (5)
smallhouse7;Tiny House (6)
smallhouse8;Tiny House (7)
smallinn;Tiny House (8)
smallwindmill;Tiny House (9)
smallhouse10;Tiny Flats (1)
smallhouse4;Tiny Flats (2)
smallhouse5;Tiny Flats (3)
smallhouse9;Tiny Flats (4)
smalllamppost;Tiny Lamppost
hivebed;Hive Bed
hivebush1;Hive Eggs (1)
hivebush3;Hive Eggs (2)
hivebush2;Hive Egg Sac (1)
hivebush4;Hive Egg Sac (2)
hivebush5;Hive Egg Sac (3)
hivechair;Hive Chair
hivechest;Hive Chest
hivedoor;Hive Door
hivelamp;Hive Lamp
hivelight1;Hive Light
hivelight2;Small Hive Light
hivetable;Hive Table
icebed;Ice Bed
icechair;Ice Chair
icechest;Ice Chest
icedoor;Ice Door
icemachine;Ice Machine
icetable;Ice Table
snowglobe1;Snowman Snowglobe
snowglobe2;Penguin Snowglobe
icesphere1;Ice Sphere (1)
icesphere2;Ice Sphere (2)
icesphere3;Ice Sphere (3)
icesphere4;Ice Sphere (4)
icespherechest;Ice Sphere Chest
beanstalk;Beanstalk
junglebush13;Leafy Plant (1)
junglebush14;Leafy Plant (2)
junglebush15;Leafy Plant (3)
junglebush16;Leafy Plant (4)
junglebush17;Putrid Flower (1)
junglebush18;Putrid Flower (2)
junglechest;Vine Chest
shroombed;Shroom Bed
shroomchair;Shroom Chair
shroomchest;Shroom Chest
shroomdoor;Shroom Door
shroomlamp;Shroom Lamp
shroomtable;Shroom Table
shroomwardrobe;Mushroom Wardrobe
deckchair;Deck Chair
oasisbed;Deck Lounge Chair
reedbed;Reed Bed
reedchair;Reed Chair
reedchest;Reed Chest
reedclock;Reed Wall Clock
reeddesk;Reed Desk
reeddoor;Reed Door
reedlamp;Reed Lamp
reedseed1;Reed Seed (1)
reedseed2;Reed Seed (2)
reedseed3;Reed Seed (3)
reedseed4;Reed Seed (4)
reedseed5;Reed Seed (5)
reedshelf;Reed Shelf
tallgrass1;Tall Grass (1)
tallgrass2;Tall Grass (2)
tallgrass3;Tall Grass (3)
tallgrass4;Tall Grass (4)
brokenanchor;Broken Anchor
oshroom1;Glowing Oshroom (1)
oshroom2;Glowing Oshroom (2)
oshroom3;Glowing Oshroom (3)
oshroom4;Glowing Oshroom (4)
oshroom5;Glowing Oshroom (5)
seashell1;Seashell (1)
seashell2;Seashell (2)
seashell3;Seashell (3)
seashell4;Seashell (4)
seashell5;Seashell (5)
seashell6;Seashell (6)
seashell7;Seashell (7)
seashell8;Seashell (8)
prismbed;Prism Bed
prismchair;Prism Chair
prismdoor;Prism Door
prismlamp1;Prism Magenta Lamp
prismlamp2;Prism Emerald Lamp
prismlamp3;Prism Cyan Lamp
prismrock1;Prism Crystal (1)
prismrock2;Prism Crystal (2)
prismrock3;Prism Crystal (3)
prismrock4;Prism Crystal (4)
prismrock5;Prism Crystal (5)
prismrock6;Prism Crystal (6)
prismrock7;Prism Crystal (7)
prismrock8;Prism Crystal (8)
prismrockhumanoid;Prism Crystal (9)
prismrockpenguin;Prism Crystal (10)
prismrockrunes;Prism Crystal (11)
prismtable;Prism Table
rainbowwoodbed;Rainbow Wood Bed
rainbowwoodchair;Rainbow Wood Chair
rainbowwooddoor;Rainbow Wood Door
rainbowwoodsafe;Rainbow Wood Chest
rainbowwoodtable;Rainbow Wood Table
rustbed;Rusty Bed
rustbush1;Rusty Bush (1)
rustbush2;Rusty Bush (2)
rustbush3;Rusty Bush (3)
rustbush4;Rusty Bush (4)
rustchair;Rusty Chair
rustchest;Rusty Chest
rustdoor;Rusty Door
rusttable;Rusty Table
dustybed;Dusty Bed
dustychair;Dusty Chair
dustytable;Dusty Wooden Table
bombsheltershelf1;Shelter Shelf
dumpster;Dumpster
explosivebarrel; Explosive Barrel
lasertripwire;Laser Tripwire
manholedoor;Manhole Cover
metallictrapdoor;Metal Trap Door
scorchedbench;Scorched Bench
scorchedcityarrowsign;Tire Arrow Sign
scorchedcitybed;Stylish Bed
scorchedcitybrokenbed;Broken Stylish Bed
scorchedcitybrokenchair;Broken Stylish Chair
scorchedcitybrokenchestdrawerlarge;Large Broken Drawers
scorchedcitybrokenchestdrawersmall;Small Broken Drawers
scorchedcitybrokencounter;Grimy Stylish Counter
scorchedcitybrokenelectricbox1;Broken Electric Box
scorchedcitybrokenelectricbox2;Broken Utility Box
scorchedcitybrokenfridge;Rusty Stylish Fridge
scorchedcitybrokenregister;Broken Register
scorchedcitybrokenroundsign1;Neglected Rusty Sign
scorchedcitybrokenstoreshelf;Rusty Metal Store Shelf
scorchedcitybrokentable;Broken Round Table
scorchedcitybrokentank;Rusty Holding Tank
scorchedcitybrokentraficlights;Broken Traffic Lights
scorchedcitybrokentv;Broken Stylish TV
scorchedcitychair;Stylish Chair
scorchedcitychest;Decayed Chest
scorchedcitychestdrawerlarge;Large Stylish Drawers
scorchedcitychestdrawersmall;Small Stylish Drawers
scorchedcitycounter;Stylish Counter
scorchedcitycrate;Rusty Crate
scorchedcityfridge;Stylish Fridge
scorchedcityregister;Store Register
scorchedcitysign1;Warning Sign
scorchedcitysmallcrate;Small Rusty Crate
scorchedcitystoreshelf;Metal Store Shelf
scorchedcitytable;Round Table
scorchedcitytv;Stylish TV
scorchedlandmine;Rusty Land Mine
vrheadset;VR Headset
woodenutilitypole1;Wooden Utility Pole
woodenutilitypole2;Wooden Telephone Pole
ceilingslime1;Dripping Slime (1)
ceilingslime2;Dripping Slime (2)
ceilingslime3;Dripping Slime (3)
dripslime1;Dripping Slime (4)
ceilinghive1;Dripping Slime (5)
ceilinghive2;Dripping Slime (6)
ceilinghive3;Dripping Slime (7)
slimebed;Slime Bed
slimechair;Slime Chair
slimetorch;Slime Torch
blueprintblob;Blueprint Blob
copperrock;Copper Rock
copperrocksmall;Small Copper Rock
diamondrock;Diamond Rock
diamondrocksmall;Small Diamond Rock
goldrock;Gold Rock
goldrocksmall;Small Gold Rock
platinumrock;Platinum Rock
platinumrocksmall;Small Platinum Rock
silverrock;Silver Rock
silverrocksmall;Small Silver Rock
beaconsnow;Distress Beacon
fancysnowman;Fancy Snowman
snowdrift1;Snowdrift (1)
snowdrift2;Snowdrift (2)
snowdrift3;Snowdrift (3)
snowdrift4;Snowdrift (4)
snowman;Snowman
flowerbox;Strange Flower Box
flowerlamp;Hanging Flower Lamp
movingsunflower;Moving Sunflower
petalfountain;Floral Fountain
splendidplant;Splendid Flower
springbush1;Flowery Bush (1)
springbush2;Flowery Bush (2)
springbush3;Flowery Bush (3)
springbush4;Flowery Bush (4)
springbush5;Flowery Bush (5)
springbush6;Flowery Bush (6)
springchest;Spring Chest
vibrantplant;Vibrant Plant
boilervalve;Boiler Valve
brasslamppost1;Brass Lamp Post
floorgear1;Floor Gear
floorpipe1;Floor Pipe (1)
